"cliid","placa","datapedido"
"5349","MD56JAU","2024-01-15"
"5350","MM33LRV","2017-06-24"
"5351","ZL31IVY","2020-11-21"
"5352","OF20OGZ","2024-04-06"
"5353","VE47SNY","2016-03-07"
"5354","RR87KLS","2023-10-03"
"5355","QW96UMO","2016-06-21"
"5356","HV34MUX","2016-09-16"
"5357","OX53CUM","2011-12-28"
"5358","TA65OMN","2012-02-09"
"5359","QK12HTA","2015-06-24"
"5360","XT06YKI","2019-05-21"
"5361","GE50QLN","2022-12-22"
"5362","SO25YBU","2024-04-10"
"5363","SG72CYC","2020-10-26"
"5364","PU58ASH","2014-11-26"
"5365","NR43ADJ","2020-05-26"
"5366","MH10SUW","2021-07-23"
"5367","IF29INJ","2015-03-20"
"5368","UY23LIH","2021-09-11"
"5369","BW74BFT","2023-01-24"
"5370","EC25JSO","2013-10-14"
"5371","FL28VFP","2016-04-09"
"5372","PU06WCV","2010-03-15"
"5373","MM68CDN","2019-10-11"
"5374","OK97ELA","2011-09-22"
"5375","YU52SJP","2023-03-15"
"5376","AU39RSE","2010-12-23"
"5377","XO67GXB","2011-01-05"
"5378","LN25SJO","2013-04-04"
"5379","BF03CDI","2012-12-07"
"5380","WX47OZV","2022-01-05"
"5381","OS34UXT","2023-11-08"
"5382","NP76SWX","2011-08-20"
"5383","TN95DMU","2020-03-07"
"5384","GX57RTV","2021-07-31"
"5385","AP50KJO","2015-08-28"
"5386","CB41GBR","2010-08-02"
"5387","SR80GJD","2012-12-01"
"5388","DF50WRD","2010-04-04"
"5389","ZB27RSG","2019-10-16"
"5390","CG44VFM","2021-11-01"
"5391","PK12NRI","2020-09-26"
"5392","XI87MME","2021-07-25"
"5393","JQ82IVA","2021-07-16"
"5394","WY45IFM","2014-05-15"
"5395","BG80UFC","2010-11-24"
"5396","DO88RVU","2020-11-02"
"5397","LC24ZFN","2015-01-14"
"5398","CV46FVZ","2013-10-26"
"5399","RO12MVV","2018-04-13"
"5400","JX00FWJ","2013-01-22"
"5401","YL85CFV","2016-10-02"
"5402","TX58QQN","2018-09-25"
"5403","ND35ZGW","2018-02-25"
"5404","EZ26FZZ","2023-08-05"
"5405","IG98YFD","2018-05-22"
"5406","WA38NBJ","2021-01-03"
"5407","LE80KQG","2015-08-28"
"5408","BQ52ZQV","2011-05-27"
"5409","XT96EDT","2013-03-26"
"5410","LV43UPY","2017-05-11"
"5411","UI76BTJ","2021-06-23"
"5412","DN48MVW","2012-05-29"
"5413","SL52TNJ","2015-10-26"
"5414","NY10UKU","2013-01-06"
"5415","HI48TZS","2018-01-11"
"5416","QK96PSZ","2019-05-24"
"5417","HE48BRO","2024-03-07"
"5418","AY29IPK","2015-01-20"
"5419","DB89IBL","2012-05-05"
"5420","DA92YZV","2013-01-06"
"5421","MG46VOP","2011-05-18"
"5422","AX83ZTL","2022-10-29"
"5423","MR65FDM","2023-06-28"
"5424","RB82JRA","2023-12-30"
"5425","DX70TUY","2016-05-02"
"5426","QD32HTG","2012-04-13"
"5427","TL32OTH","2023-11-10"
"5428","RR31PKQ","2013-12-27"
"5429","EO35NXU","2010-10-30"
"5430","BW47QUF","2010-02-07"
"5431","DP88BBL","2014-06-26"
"5432","ON54TQV","2022-05-19"
"5433","RX93WKI","2017-09-08"
"5434","RO81POO","2014-08-07"
"5435","VG05WLK","2023-10-13"
"5436","VX80VHI","2014-01-05"
"5437","OT77LJZ","2024-02-01"
"5438","CL67POP","2019-03-07"
"5439","WE16EUY","2011-12-21"
"5440","UP46AUX","2016-04-18"
"5441","ED31DKT","2022-08-05"
"5442","KG35LIA","2012-12-18"
"5443","RE78AML","2012-12-09"
"5444","II24GFR","2019-01-06"
"5445","WT82MNN","2019-03-07"
"5446","RN50WNN","2016-11-18"
"5447","ML63BXX","2012-07-01"
"5448","NV45ZNW","2023-12-23"
"5449","QG69ZSP","2012-10-25"
"5450","JN49DYB","2013-01-15"
"5451","JX53AXW","2023-07-23"
"5452","CY51LQD","2012-12-21"
"5453","TO17FCD","2010-01-30"
"5454","QS26BNC","2009-12-28"
"5455","ES26MQH","2014-01-07"
"5456","KV97OYB","2015-05-17"
"5457","YD17FBG","2012-06-18"
"5458","XQ70KAT","2019-07-23"
"5459","ES22FRS","2011-01-08"
"5460","BU97QNO","2010-04-22"
"5461","OM09DOT","2023-06-10"
"5462","IW85PZR","2019-01-12"
"5463","HN16BHE","2011-11-11"
"5464","LD61NAH","2023-08-16"
"5465","NH63PMW","2013-11-16"
"5466","NJ14IDX","2014-08-26"
"5467","MH00UTV","2020-12-11"
"5468","QP27ENY","2023-08-05"
"5469","ZW46FUD","2020-02-16"
"5470","CN28RCQ","2017-12-18"
"5471","MQ26EUP","2023-03-14"
"5472","IV27ODC","2016-05-26"
"5473","TH16GMM","2014-01-14"
"5474","JJ74SDJ","2021-07-17"
"5475","ZH90WPV","2013-06-29"
"5476","SP71GIY","2010-09-29"
"5477","MQ40PRA","2018-12-17"
"5478","OG98HDU","2019-09-03"
"5479","ME53PJF","2011-12-30"
"5480","EJ15WAI","2014-10-10"
"5481","SG61AJF","2011-12-26"
"5482","CZ15VOE","2021-08-18"
"5483","ZI56XCP","2016-09-18"
"5484","GB00VVR","2010-03-17"
"5485","JP03JQM","2019-11-23"
"5486","RG16QDJ","2011-05-12"
"5487","EG97BKL","2020-07-14"
"5488","CA93GCK","2023-12-10"
"5489","AE59APW","2014-02-25"
"5490","RH05HOZ","2016-05-13"
"5491","TS48HUT","2018-05-05"
"5492","QD55ZGB","2017-05-22"
"5493","KU52HJU","2010-01-05"
"5494","FI85HXQ","2018-03-31"
"5495","PL73RPT","2013-03-05"
"5496","AV04GHA","2019-03-18"
"5497","JT29CWL","2013-05-12"
"5498","ZI59FQS","2016-07-08"
"5499","YH40ZOI","2010-03-20"
"5500","TF32PIE","2017-04-14"
"5501","IF74KRW","2014-07-30"
"5502","NW36KEA","2019-10-13"
"5503","KD16JKJ","2010-03-04"
"5504","AO93GQG","2020-11-06"
"5505","SM45SRS","2022-04-27"
"5506","DR88ZDZ","2011-10-29"
"5507","KB25UMR","2015-04-21"
"5508","KN68UZM","2010-12-21"
"5509","EY28LCG","2024-03-21"
"5510","IU00RQO","2022-09-18"
"5511","WJ37QEG","2015-05-12"
"5512","FQ25ILC","2010-11-02"
"5513","UE50SDS","2020-08-02"
"5514","OL32YVM","2013-12-17"
"5515","UI56IJH","2019-12-22"
"5516","XF28SLO","2013-04-06"
"5517","NR51YLY","2022-04-26"
"5518","QQ15GVF","2015-01-31"
"5519","KW54DPU","2017-08-22"
"5520","RJ10SDJ","2020-12-04"
"5521","DU79WQT","2018-10-24"
"5522","ZM77MPL","2019-05-20"
"5523","SI96ZZP","2016-09-29"
"5524","YO54ZFK","2015-02-02"
"5525","FK65NGV","2010-11-25"
"5526","MW49SJU","2015-09-26"
"5527","QS35RCI","2015-03-08"
"5528","YM70IHC","2009-10-15"
"5529","JO52EMR","2015-08-15"
"5530","SO43GJA","2018-02-10"
"5531","YK92KRI","2010-01-08"
"5532","AL71XNJ","2021-07-01"
"5533","KY87BYN","2016-11-06"
"5534","II11VKF","2024-04-24"
"5535","XF89JAT","2021-07-01"
"5536","PX17GEX","2015-02-05"
"5537","FI53FAO","2010-10-21"
"5538","WK48LCI","2017-05-16"
"5539","IR32FEW","2021-04-09"
"5540","OG64FNO","2020-08-27"
"5541","SA30YTD","2016-01-29"
"5542","LI12EUD","2020-07-15"
"5543","BB01NKU","2015-09-05"
"5544","WJ62GZY","2020-02-05"
"5545","LU84KRL","2012-03-03"
"5546","ES21SBX","2022-01-22"
"5547","IH06WYP","2022-01-11"
"5548","WE64PRL","2013-03-22"
"5549","GT78MMZ","2015-04-15"
"5550","SB47TNF","2013-04-16"
"5551","AW80AEO","2018-01-28"
"5552","QB72GBC","2020-11-03"
"5553","DE93TZH","2016-05-09"
"5554","UY87FZF","2019-11-18"
"5555","IS55AEL","2012-03-31"
"5556","DN70KOL","2017-11-22"
"5557","GK18VMI","2011-09-24"
"5558","JW64DDL","2013-11-28"
"5559","HJ61VBK","2020-12-27"
"5560","EU58THN","2013-06-28"
"5561","ZF25NVR","2010-05-31"
"5562","OL93IAD","2018-05-25"
"5563","PN20PDW","2020-09-17"
"5564","PT13NQA","2013-01-24"
"5565","GG63DSP","2014-07-23"
"5566","KU31VAE","2023-12-08"
"5567","PA33ZSZ","2015-12-10"
"5568","OU38KME","2016-03-12"
"5569","XK48ZMS","2021-10-25"
"5570","UJ24PEU","2010-08-27"
"5571","PE47BPH","2014-07-24"
"5572","WV77SDA","2015-10-14"
"5573","RV49GTD","2011-06-12"
"5574","OB37UKP","2015-03-21"
"5575","WK35QGJ","2016-03-14"
"5576","AE21DCO","2019-02-20"
"5577","DT22KWO","2023-03-22"
"5578","QS70PQA","2018-12-04"
"5579","QW40ESS","2021-04-23"
"5580","KO25PDJ","2013-01-22"
"5581","XP17LMP","2017-08-24"
"5582","YF07HSJ","2015-10-14"
"5583","BY94TLN","2012-10-28"
"5584","TW39BDM","2018-04-23"
"5585","WA31PDW","2011-04-21"
"5586","IQ31AMO","2016-07-27"
"5587","NN09CHZ","2020-07-15"
"5588","NS35HRN","2015-07-19"
"5589","FN73MKR","2010-07-07"
"5590","TX67UNX","2021-05-04"
"5591","CP26ETK","2020-09-24"
"5592","VS69IGA","2020-06-10"
"5593","XL83ABK","2011-11-06"
"5594","XU59KRX","2017-04-27"
"5595","ZZ98HVA","2014-11-20"
"5596","FH07ICJ","2013-12-15"
"5597","XH86JLH","2023-10-24"
"5598","XZ13NXJ","2011-03-09"
"5599","DN87IUF","2011-01-05"
"5600","UT82BZL","2018-05-19"
"5601","GR92NSA","2013-09-24"
"5602","QS98TSB","2023-02-28"
"5603","LO98AMB","2023-05-14"
"5604","VM87NKN","2022-05-20"
"5605","TH98TMF","2009-08-29"
"5606","VP55VOK","2012-05-28"
"5607","AK96RJJ","2017-03-24"
"5608","HP80JPD","2019-05-24"
"5609","OQ65RQR","2012-05-19"
"5610","WY76IYY","2021-12-26"
"5611","FO51WJU","2009-11-18"
"5612","RY80KLS","2021-09-23"
"5613","OT99JII","2013-05-24"
"5614","GH07HDP","2014-07-24"
"5615","ZP29UBV","2011-06-09"
"5616","IN45CHX","2018-04-27"
"5617","FC35XHB","2011-09-21"
"5618","IV67VWL","2022-12-23"
"5619","JN59KMZ","2010-09-27"
"5620","GY95MWV","2016-02-20"
"5621","RB90KDW","2013-12-03"
"5622","DZ19XTY","2012-05-29"
"5623","RJ60NIL","2023-03-05"
"5624","SL41ZKN","2016-06-10"
"5625","FL78AEI","2015-07-17"
"5626","XW85ACN","2022-01-08"
"5627","FZ56TEL","2021-01-26"
"5628","SR07LZT","2020-01-02"
"5629","LO84RTW","2011-11-23"
"5630","VQ99NHN","2021-02-11"
"5631","FV51YKU","2010-07-08"
"5632","KF33VKU","2015-09-10"
"5633","YS39JRR","2014-03-16"
"5634","WT47DTX","2012-05-19"
"5635","XP35ULD","2013-12-19"
"5636","HD82HRA","2017-12-08"
"5637","LK73YKK","2017-12-12"
"5638","UW61SKZ","2020-08-13"
"5639","QF36FJC","2010-11-30"
"5640","RD50GKF","2013-04-01"
"5641","JP97UVW","2017-10-31"
"5642","SG58GQJ","2016-09-21"
"5643","EL75VSJ","2021-06-30"
"5644","PV04ORV","2018-07-23"
"5645","XP51WDF","2015-01-29"
"5646","KT72YIO","2017-01-05"
"5647","TK33YYV","2016-03-11"
"5648","TD00IXE","2022-06-25"
"5649","NA62QEL","2010-03-10"
"5650","ER46BNB","2016-05-12"
"5651","PU12SDE","2011-01-16"
"5652","UA92LOW","2018-08-13"
"5653","AW96RKQ","2016-12-12"
"5654","ST89CQW","2015-05-10"
"5655","QH87EFT","2021-03-03"
"5656","BN43FZY","2021-11-05"
"5657","UW35ZKU","2017-05-02"
"5658","PJ13KHN","2023-07-26"
"5659","EW95DBD","2023-06-09"
"5660","VQ34CWT","2014-05-22"
"5661","DP44XBG","2018-02-16"
"5662","YC07EAO","2024-01-20"
"5663","IR22OOV","2010-03-14"
"5664","MW41YNR","2024-04-17"
"5665","CW30OQH","2018-07-20"
"5666","FL97SOK","2015-01-09"
"5667","SD63JVT","2015-01-24"
"5668","OJ79JDN","2017-11-01"
"5669","RC73AYS","2020-02-07"
"5670","ME90ZCP","2016-09-20"
"5671","SM99YTK","2010-02-26"
"5672","JZ35VEW","2013-01-15"
"5673","RS74YCF","2013-03-16"
"5674","CW32EYW","2020-09-17"
"5675","TK83CAO","2014-04-29"
"5676","LL72FEQ","2017-01-16"
"5677","YV30YTF","2022-10-23"
"5678","CR74HBZ","2020-03-24"
"5679","AT73ZBE","2012-01-22"
"5680","WT46MWP","2020-09-24"
"5681","PV84SXK","2014-11-06"
"5682","DI37KAT","2021-09-11"
"5683","OI30PLY","2019-02-01"
"5684","JI84BNI","2018-07-19"
"5685","II93QRO","2023-10-29"
"5686","EO92XUI","2015-03-27"
"5687","VJ94TGA","2016-06-09"
"5688","WQ63QRY","2020-06-24"
"5689","AQ87VMH","2016-02-22"
"5690","AN78CXW","2015-06-28"
"5691","XI13AHQ","2020-09-26"
"5692","RK71EWO","2017-01-18"
"5693","ZU78GPE","2018-07-31"
"5694","MH71SCM","2014-11-28"
"5695","TJ52DER","2020-10-26"
"5696","XI95CUT","2023-01-21"
"5697","PU53QVO","2020-01-19"
"5698","DQ83FLH","2010-10-10"
"5699","ZY01NZP","2019-09-28"
"5700","WC60EAY","2017-03-24"
"5701","LU45QGV","2023-10-19"
"5702","TT58LFS","2018-04-14"
"5703","UY18SSU","2011-08-31"
"5704","ZW63UIQ","2021-06-13"
"5705","AC43VIU","2017-08-29"
"5706","XP86LIC","2011-08-30"
"5707","JB67YHH","2022-03-24"
"5708","OS11MGD","2013-11-22"
"5709","DB28IPP","2015-06-02"
"5710","DG45XVR","2012-04-10"
"5711","DI47SBF","2010-10-21"
"5712","HP48NDF","2018-09-30"
"5713","DN58YWB","2023-06-30"
"5714","JC50FRQ","2010-08-26"
"5715","LO82TLW","2020-05-09"
"5716","YZ39JUN","2011-09-28"
"5717","BS54YZX","2018-01-29"
"5718","TF83QRW","2016-12-11"
"5719","OB08HAI","2013-07-16"
"5720","JZ48SBU","2015-02-05"
"5721","HM91YUU","2018-03-04"
"5722","KM77NWR","2021-12-27"
"5723","OH77XGZ","2015-03-17"
"5724","BW12LFI","2020-10-24"
"5725","DB16YCB","2021-12-02"
"5726","SN97CYZ","2022-10-06"
"5727","IV75LWI","2020-09-19"
"5728","FW15ELU","2011-11-15"
"5729","SJ66KKL","2018-08-22"
"5730","MX83PZA","2019-09-03"
"5731","IJ86TFQ","2013-03-17"
"5732","GV56LPP","2010-04-22"
"5733","SD73SYW","2023-04-13"
"5734","VL63SBV","2009-08-10"
"5735","JS62IKU","2013-08-16"
"5736","NJ82ACQ","2017-02-17"
"5737","WQ34XBS","2012-11-03"
"5738","MS32ZXA","2018-12-16"
"5739","HL97BHU","2010-07-14"
"5740","VT03PNY","2010-11-02"
"5741","AB36EIP","2009-08-01"
"5742","AW91YBN","2012-07-19"
"5743","PY60OHB","2020-10-30"
"5744","YF31SBI","2013-03-13"
"5745","JQ36CUJ","2014-03-05"
"5746","NU39HFT","2020-07-22"
"5747","YE41VKO","2019-11-19"
"5748","BM39ODQ","2011-11-25"
"5749","LW03IZU","2013-11-23"
"5750","OP25XCD","2013-07-14"
"5751","OS26TEQ","2012-11-19"
"5752","DP16DAF","2011-09-17"
"5753","SU43XBD","2019-05-14"
"5754","XX37VCT","2010-01-29"
"5755","IL67QVD","2023-04-09"
"5756","SR71FOB","2023-12-04"
"5757","BU27LAA","2019-11-27"
"5758","WX89HZC","2024-03-08"
"5759","VJ03FBN","2013-07-16"
"5760","OD58LWH","2023-07-09"
"5761","UL29NUK","2016-09-29"
"5762","ZQ71SZP","2012-06-29"
"5763","GK37MXW","2012-11-16"
"5764","CK42CXW","2019-06-11"
"5765","CB22XEW","2012-04-21"
"5766","UG66UTX","2016-09-06"
"5767","OJ39FKV","2024-03-24"
"5768","CS48QRD","2015-08-21"
"5769","EM56TDP","2020-01-18"
"5770","AC10SSL","2023-12-19"
"5771","UE56MZV","2018-10-30"
"5772","DQ05BDD","2014-09-15"
"5773","SB40XRD","2013-08-08"
"5774","UH24LHA","2012-05-02"
"5775","LF50WYG","2012-05-12"
"5776","PL56WXY","2010-04-29"
"5777","JY10BQH","2014-05-30"
"5778","KX61JNZ","2011-08-07"
"5779","VA76LTA","2017-07-06"
"5780","IR23OYG","2023-05-15"
"5781","SX85QRB","2017-09-27"
"5782","PK77XBK","2023-04-28"
"5783","DF33MER","2023-10-05"
"5784","FC92GAF","2010-06-23"
"5785","PK29REH","2017-02-05"
"5786","LO21QNQ","2015-05-19"
"5787","VP28BIM","2022-04-16"
"5788","MY16YIW","2012-08-06"
"5789","JN97ZEV","2014-10-06"
"5790","QJ32NIC","2016-03-22"
"5791","TL01CLL","2020-05-01"
"5792","DZ55SJS","2021-05-09"
"5793","TV10RDT","2013-09-26"
"5794","ZE40JUL","2014-12-06"
"5795","TF69MFW","2018-08-22"
"5796","CT20ORS","2016-09-08"
"5797","XL88EJA","2021-12-20"
"5798","MP85HPA","2015-10-30"
"5799","CT20XKA","2018-02-14"
"5800","PU94AIQ","2021-02-25"
"5801","ZL08LPY","2011-01-29"
"5802","LW91VNJ","2018-04-13"
"5803","KW02UKV","2018-04-10"
"5804","YA77UPX","2013-05-24"
"5805","IT44IUB","2010-08-05"
"5806","YP76MWX","2012-06-30"
"5807","BD47QEF","2018-03-29"
"5808","NO74NIB","2011-01-05"
"5809","NH67EXS","2020-06-20"
"5810","FO39VGM","2022-05-25"
"5811","XM20PKW","2020-09-18"
"5812","TB08VXX","2023-10-20"
"5813","AH25PQF","2013-08-14"
"5814","HO46OJQ","2009-12-13"
"5815","MV10DJE","2016-11-24"
"5816","LY85TKQ","2015-06-28"
"5817","TT05IPR","2013-11-03"
"5818","JF81UJW","2012-07-10"
"5819","EP12ROP","2011-03-10"
"5820","DH97WGD","2012-10-26"
"5821","AX69KSI","2019-07-06"
"5822","KH99BNU","2019-01-24"
"5823","WP66TBZ","2017-03-09"
"5824","PO72TAW","2016-02-29"
"5825","SZ00OIP","2013-12-10"
"5826","BT65GJX","2010-06-13"
"5827","AW20BRD","2012-11-13"
"5828","LN97NQL","2019-04-08"
"5829","FP19QOD","2022-05-30"
"5830","LK55DFF","2020-05-07"
"5831","VK09LHR","2016-07-27"
"5832","UA41UFZ","2019-11-18"
"5833","UK37PEY","2012-06-05"
"5834","YW13CJK","2011-05-03"
"5835","YV92MYT","2020-04-22"
"5836","NT36QIY","2010-12-02"
"5837","CG70IQN","2016-07-24"
"5838","HK54YSD","2015-06-11"
"5839","MI77DMY","2022-02-26"
"5840","AV17OCL","2019-12-15"
"5841","AF65GEL","2017-07-28"
"5842","GG01DTK","2016-05-08"
"5843","WS55TRX","2020-06-22"
"5844","WH51DZF","2010-04-21"
"5845","HB39MWK","2012-10-09"
"5846","ET43LNO","2018-10-10"
"5847","QA37HZG","2011-03-30"
"5848","FM18XDF","2022-06-29"
"5849","BL72JPP","2018-09-22"
"5850","WK82YHI","2023-04-01"
"5851","YY49FQL","2012-04-13"
"5852","NC94DRL","2023-03-12"
"5853","ZA27UOH","2012-06-01"
"5854","LV97HIX","2011-12-18"
"5855","TF31PQF","2019-01-17"
"5856","FG61QNR","2011-08-23"
"5857","OE25YHS","2019-09-08"
"5858","WF02UHT","2012-02-03"
"5859","CX39QLF","2023-04-19"
"5860","DJ69NTC","2015-03-05"
"5861","JZ00XEV","2017-11-09"
"5862","RJ09GKJ","2022-09-18"
"5863","LP57ATS","2021-01-07"
"5864","RI02BDW","2011-07-17"
"5865","LQ58WGP","2015-06-08"
"5866","UW17NKV","2019-05-05"
"5867","OR14GQT","2019-02-23"
"5868","DF68UIZ","2022-11-15"
"5869","RR45ATT","2012-10-30"
"5870","OO11EWP","2012-08-19"
"5871","UQ13CVW","2014-03-13"
"5872","HB18TLP","2019-09-02"
"5873","QW54WSI","2022-07-30"
"5874","MT67KZV","2014-11-07"
"5875","FX92FPO","2012-12-21"
"5876","XD08VYF","2019-07-18"
"5877","XF82NOQ","2012-05-27"
"5878","HP62MKB","2018-02-27"
"5879","HQ03UCD","2015-05-20"
"5880","JP13AHZ","2015-05-19"
"5881","ZA57GOZ","2012-10-28"
"5882","NN98MBJ","2021-01-05"
"5883","DW47AMO","2015-02-02"
"5884","CX28NVS","2023-02-10"
"5885","GB99XTO","2022-09-03"
"5886","ZB97LZL","2024-02-23"
"5887","AJ24AZH","2018-09-16"
"5888","MC30LMR","2022-07-12"
"5889","ZL28GFK","2022-01-02"
"5890","SB78WVE","2010-05-09"
"5891","MV58API","2018-08-31"
"5892","TP87WNV","2014-10-13"
"5893","DV61WRW","2016-11-20"
"5894","FU80EQB","2023-05-29"
"5895","ZN66ISJ","2011-01-29"
"5896","WB30XVQ","2011-08-23"
"5897","WO41COK","2013-01-13"
"5898","BF46XAD","2020-12-30"
"5899","TI60XUI","2018-10-09"
"5900","JH21VWC","2020-12-03"
"5901","AM74VLG","2010-07-05"
"5902","SE18PFF","2022-06-15"
"5903","WJ83DKF","2016-03-06"
"5904","JM09UHY","2021-07-09"
"5905","XR78OFT","2020-11-06"
"5906","SG40YWU","2010-11-07"
"5907","OS09LFP","2017-06-23"
"5908","WF90ZGE","2017-05-08"
"5909","KO99HDG","2022-05-03"
"5910","CZ00LCE","2022-07-17"
"5911","UE27NZJ","2017-07-17"
"5912","OO29KXZ","2011-05-13"
"5913","UH98AYG","2021-12-10"
"5914","GJ79QNW","2009-11-17"
"5915","BJ57PNE","2016-12-02"
"5916","YX76PPF","2024-03-05"
"5917","TX80XIH","2019-05-20"
"5918","CR37EZL","2013-05-13"
"5919","EC69IOY","2019-01-25"
"5920","JS43LTL","2013-01-28"
"5921","IS34HYB","2012-09-26"
"5922","TQ37NOQ","2013-03-14"
"5923","SZ85IRH","2014-11-14"
"5924","WV34LUC","2018-08-29"
"5925","XQ87KYK","2009-12-26"
"5926","UL57JDB","2019-12-08"
"5927","TV56NMO","2014-03-20"
"5928","YT53EKK","2023-05-24"
"5929","CQ56OKA","2012-05-18"
"5930","RF60IJI","2015-01-11"
"5931","CC16DWK","2020-12-15"
"5932","PO06BPB","2011-02-25"
"5933","QT23KEB","2021-02-16"
"5934","VC52WYQ","2013-05-03"
"5935","KA28IVD","2012-12-04"
"5936","BW54GYQ","2017-11-12"
"5937","KY31KVZ","2024-04-02"
"5938","OL03DNW","2018-06-02"
"5939","JJ16LJV","2020-08-03"
"5940","WH83VUY","2014-03-12"
"5941","UZ32VRU","2021-04-23"
"5942","EL06RHB","2009-11-28"
"5943","UB59SSK","2011-11-02"
"5944","EQ07IBJ","2015-03-19"
"5945","OT93DTP","2014-02-02"
"5946","GU71QFH","2017-01-31"
"5947","RP74OOM","2014-03-11"
"5948","FO15KGQ","2012-05-23"
"5949","PU88TWJ","2017-09-06"
"5950","IE96FSC","2019-12-29"
"5951","DJ31MGK","2024-03-26"
"5952","KI72TNM","2010-03-05"
"5953","FM90YZP","2011-06-29"
"5954","FL43CLO","2014-03-04"
"5955","JU97GDL","2018-06-26"
"5956","OA76XBE","2021-02-05"
"5957","DV84KNB","2014-06-22"
"5958","VG08GFN","2021-11-26"
"5959","PI74YFP","2015-01-19"
"5960","LA94ULV","2017-06-06"
"5961","MB88FWF","2019-09-13"
"5962","HV59PRT","2017-01-10"
"5963","BZ44MUS","2018-11-17"
"5964","AM15NBF","2021-09-09"
"5965","NA57LNS","2011-12-08"
"5966","TR71VBQ","2023-01-11"
"5967","DO64FAX","2019-02-13"
"5968","KD73KIR","2010-01-06"
"5969","KT12WSH","2019-01-14"
"5970","SB37BBS","2020-09-23"
"5971","VC16NYN","2013-02-28"
"5972","HL72WAF","2020-01-21"
"5973","BH59DNB","2011-04-17"
"5974","FI93NVS","2011-06-03"
"5975","WV28NMZ","2012-05-02"
"5976","PV10BYK","2012-07-09"
"5977","CD36SLY","2017-09-05"
"5978","PC35WQC","2019-05-27"
"5979","PN57WUQ","2016-10-08"
"5980","DO80ZPP","2023-04-11"
"5981","NI02XSS","2021-08-21"
"5982","VJ83WXH","2009-09-18"
"5983","QV10ZBL","2018-04-12"
"5984","BW19TLO","2011-06-27"
"5985","RD40POK","2015-11-06"
"5986","FN58AXO","2019-10-03"
"5987","LC02TDV","2021-03-11"
"5988","UX88QLW","2021-04-08"
"5989","VB80VZU","2012-02-23"
"5990","LF70VUK","2012-09-22"
"5991","UD08RIS","2019-08-23"
"5992","XH21VIS","2010-09-30"
"5993","FP21ZZO","2011-04-10"
"5994","WW58ZLG","2019-05-05"
"5995","UE45IZO","2017-02-02"
"5996","WR87AJR","2020-11-15"
"5997","HL91RKN","2014-07-13"
"5998","YH69XIR","2017-01-15"
"5999","QA40KTG","2013-06-29"
"6000","QT95JXH","2020-09-01"
"6001","ZS54PSO","2012-01-09"
"6002","SY76VCG","2011-11-13"
"6003","KT51YJG","2016-08-05"
"6004","ZS44TJK","2014-05-10"
"6005","VD00ZFP","2020-03-13"
"6006","KW84YWI","2021-04-18"
"6007","RV30SCO","2020-01-01"
"6008","NC40CAW","2012-08-16"
"6009","BU34YTJ","2019-03-26"
"6010","CI16KGQ","2017-11-09"
"6011","SF47ACX","2019-02-21"
"6012","UD81MYM","2017-05-29"
"6013","MD86WGQ","2022-06-18"
"6014","XE71JTW","2021-06-29"
"6015","JU49PFA","2023-11-23"
"6016","BB15CZD","2011-03-04"
"6017","FU17JUZ","2009-09-01"
"6018","HE42MOS","2011-01-18"
"6019","ZQ71ILY","2013-07-30"
"6020","GY32VLD","2024-03-07"
"6021","ZQ71PYR","2009-11-08"
"6022","XC16DDJ","2010-09-23"
"6023","VH13FVJ","2023-11-23"
"6024","PJ68NVF","2011-12-25"
"6025","SX43GDJ","2012-09-30"
"6026","UQ11ONB","2010-02-18"
"6027","MY12MHE","2017-10-21"
"6028","CS58TFV","2022-08-31"
"6029","UU52GDF","2019-12-17"
"6030","GO93SAA","2017-08-28"
"6031","WJ51KFN","2011-05-31"
"6032","KK34JSN","2013-07-23"
"6033","GY75VCT","2015-10-15"
"6034","OK20WIU","2014-07-15"
"6035","SN55CHA","2017-03-02"
"6036","DE98OQF","2011-06-16"
"6037","SO95SXF","2022-02-09"
"6038","SF71TDV","2024-01-06"
"6039","PD06LHV","2011-07-28"
"6040","AT68UYI","2017-10-31"
"6041","SO74KVI","2015-05-06"
"6042","EY92BEY","2014-01-05"
"6043","GN46EGR","2023-12-05"
"6044","WN72MFA","2013-08-27"
"6045","RN28ZHK","2014-01-28"
"6046","EN21NCL","2019-04-09"
"6047","JB04JWQ","2019-03-17"
"6048","KO01OTJ","2019-09-16"
"6049","UD74IRO","2017-01-21"
"6050","UV22KXX","2014-09-08"
"6051","SK91XUJ","2024-01-05"
"6052","XN43JJJ","2016-09-21"
"6053","CG03XVP","2010-12-11"
"6054","ZL02LAY","2021-09-06"
"6055","RN65VLG","2011-01-31"
"6056","TA36BHI","2016-12-20"
"6057","FB86BPM","2023-03-19"
"6058","WH51COO","2022-02-12"
"6059","EH63RHJ","2013-09-27"
"6060","SC93IMC","2011-04-05"
"6061","KM00GXN","2012-12-21"
"6062","IV27GXO","2019-06-23"
"6063","BG50VVJ","2016-08-23"
"6064","ZY31SVX","2010-09-14"
"6065","VK79HDS","2020-05-19"
"6066","ZA86ZUB","2011-01-13"
"6067","PX08ADH","2024-02-08"
"6068","DV54CRU","2021-08-25"
"6069","LV68EDR","2019-05-26"
"6070","CG50MOM","2019-04-10"
"6071","MA84CNP","2022-02-04"
"6072","KY43BFK","2015-07-19"
"6073","YS88EJI","2017-01-17"
