"placa","marca","modelo","anofab","licenca"
"RV30SCO","Polestar","Challenger",2012,"XcDeHJSX"
"NC40CAW","Smart","Mercielago",2022,"wbqPczAr"
"BU34YTJ","Dodge","Volt",2013,"brpjoHWy"
"CI16KGQ","Jeep","Roadster",2022,"OhpWyYyW"
"SF47ACX","Jeep","911",2018,"PbnvTrjX"
"UD81MYM","Kia","Camry",2016,"YEVhpxqc"
"MD86WGQ","Toyota","Model T",2013,"upOfnANg"
"XE71JTW","Dodge","Jetta",2011,"qvmpgFAe"
"JU49PFA","Ferrari","Cruze",2019,"CezPhsfP"
"BB15CZD","Audi","Focus",2022,"oeRaKqtX"
"FU17JUZ","Audi","Land Cruiser",2011,"PABIjsZD"
"HE42MOS","Jaguar","Sentra",2016,"AarovIlk"
"ZQ71ILY","Mercedes Benz","Beetle",2021,"BGDYjjQf"
"GY32VLD","Mercedes Benz","Fiesta",2022,"Xmqbkajt"
"ZQ71PYR","Cadillac","CX-9",2015,"yVsGBCiI"
"XC16DDJ","Toyota","Model Y",2020,"jkhNXTJa"
"VH13FVJ","Volvo","Explorer",2015,"JLVEvmjk"
"PJ68NVF","Chevrolet","Grand Cherokee",2011,"VjboWHZe"
"SX43GDJ","Mini","Roadster",2016,"lhHQaamm"
"UQ11ONB","Land Rover","Civic",2013,"nsmHYwbJ"
"MY12MHE","Hyundai","Colorado",2015,"uVJzqOEN"
"CS58TFV","Rolls Royce","Model S",2021,"kqUZwwyH"
"UU52GDF","Jaguar","Civic",2022,"JWSAwyiV"
"GO93SAA","Kia","Mustang",2014,"NWGtHToq"
"WJ51KFN","Mazda","Durango",2020,"QgyXQxPa"
"KK34JSN","Honda","LeBaron",2012,"ObCmpwbX"
"GY75VCT","Smart","ATS",2015,"GdsnYHFr"
"OK20WIU","Chevrolet","Fortwo",2024,"AaseSdYw"
"SN55CHA","Mercedes Benz","Beetle",2023,"xupwvWyB"
"DE98OQF","Mini","A4",2015,"ZNLRfwfu"
"SO95SXF","Maserati","CX-9",2017,"vivUXZZE"
"SF71TDV","Aston Martin","Sentra",2016,"DVwhJLXZ"
"PD06LHV","Volkswagen","Silverado",2022,"EcuuAXUK"
"AT68UYI","Land Rover","Malibu",2011,"lURqXLoy"
"SO74KVI","Ford","Malibu",2014,"XJHvXOlF"
"EY92BEY","Audi","El Camino",2020,"qfrNTxLX"
"GN46EGR","Mini","V90",2021,"vVySQRzG"
"WN72MFA","BMW","Taurus",2022,"rnqBKBFE"
"RN28ZHK","Land Rover","Malibu",2015,"cddWVnMw"
"EN21NCL","Chrysler","Wrangler",2019,"KXuoWwCP"
"JB04JWQ","Mini","Model S",2015,"rsmNUKQy"
"KO01OTJ","Polestar","Model S",2011,"vUONtLlC"
"UD74IRO","Kia","V90",2017,"neYjwwsF"
"UV22KXX","Tesla","F-150",2013,"kTdCRaEW"
"SK91XUJ","Volvo","Fiesta",2019,"toFhHwIC"
"XN43JJJ","Fiat","Model 3",2022,"GScbLcIW"
"CG03XVP","Fiat","Aventador",2021,"rnySwxCz"
"ZL02LAY","Lamborghini","1",2022,"IOidIkWo"
"RN65VLG","Aston Martin","Beetle",2022,"vboyzkWV"
"TA36BHI","Rolls Royce","Volt",2018,"LjwuOPWH"
"FB86BPM","Ford","A8",2023,"zKZIIuWB"
"WH51COO","Tesla","Cruze",2014,"cMNNfGbX"
"EH63RHJ","Dodge","A8",2021,"WPXtciys"
"SC93IMC","Maserati","Corvette",2020,"wGBLuLbI"
"KM00GXN","Honda","LeBaron",2012,"TvVjAODd"
"IV27GXO","Chevrolet","LeBaron",2010,"pZxnFqsk"
"BG50VVJ","Lamborghini","CTS",2020,"khaAiKxd"
"ZY31SVX","Lamborghini","Land Cruiser",2024,"txnmxeXT"
"VK79HDS","Cadillac","Cruze",2021,"shMugpXQ"
"ZA86ZUB","Toyota","A4",2012,"EafbDdeW"
"PX08ADH","Jaguar","Alpine",2014,"etgwhAUT"
"DV54CRU","Bugatti","Model 3",2020,"maRtQFEg"
"LV68EDR","Dodge","CTS",2019,"AyYvgRSI"
"CG50MOM","Toyota","A8",2010,"VwvoQUqu"
"MA84CNP","Rolls Royce","Aventador",2019,"ItZaEnoh"
"KY43BFK","Land Rover","Jetta",2011,"kHxWQcPi"
"YS88EJI","Kia","Impala",2014,"yXHfNfQd"
"RU21WOL","Audi","Spyder",2010,"BwIhjkdI"
"CU05SES","Nissan","Malibu",2019,"rzhdTnlv"
"BP89CIG","Ford","Escalade",2021,"NzeDVGjG"
"QW52SSH","Rolls Royce","Model Y",2023,"plhdKdNY"
"XO30CYF","Bentley","Mercielago",2016,"GmHVaxGc"
"ZE24SQG","Jaguar","1",2012,"OoBUVsYk"
"QG72HHW","Chrysler","Mercielago",2018,"FNxphyDU"
"ZU82JQK","Ford","Silverado",2018,"wHLkukHw"
"AM32FIW","Volkswagen","Mercielago",2013,"hjFKusdu"
"GW66FZG","Bugatti","Aventador",2014,"QyBxfypc"
"JO07YFR","Kia","Malibu",2011,"ahtuwSdB"
"QT91YUA","Dodge","Fiesta",2016,"siPwcHhI"
"CL65GJB","Mazda","Cruze",2011,"EoWNhGsM"
"FE10TLP","Bugatti","Aventador",2020,"NelkAeIG"
"HK22RGS","Polestar","Impala",2017,"kdAMpsxW"
"NK43IYC","Ferrari","Silverado",2012,"YfmCjOAa"
"CU79XGV","Lamborghini","Prius",2011,"QQWJgnPS"
"HU11PRK","Mini","911",2012,"lYETIvix"
"SA72QSQ","Bugatti","Ranchero",2021,"WnceIjtP"
"TJ12TRC","Nissan","Charger",2011,"nlhbSHBS"
"UA27OYY","Aston Martin","Altima",2012,"qaKRoDsS"
"UU51RPY","Rolls Royce","Jetta",2018,"ZWwcjPml"
"EB32JBC","Mercedes Benz","PT Cruiser",2011,"XEAhXNFD"
"GK66HMY","Chrysler","Golf",2019,"cDztrSFd"
"FK72FEA","Mercedes Benz","1",2019,"BYSXOYPH"
"WE93ZUQ","Jaguar","Ranchero",2016,"wRUpmlfh"
"NS30DGY","Fiat","Model 3",2011,"KWfBhDqE"
"RX49GYX","Nissan","PT Cruiser",2019,"VKwoMBtt"
"HF75LUH","Toyota","Accord",2020,"mjwCaRQA"
"EH57ZWK","Toyota","Accord",2012,"iFwvqpWR"
"BM81WCU","Polestar","Accord",2012,"CcAPthVm"
"BF11RZK","Mercedes Benz","Escalade",2012,"wKgEhwvu"
"GP73EXB","Bentley","F-150",2021,"xptiUNKY"
"BH56AFQ","Smart","F-150",2017,"hozUxHWc"
"ON43ODG","Mercedes Benz","Roadster",2020,"fHKkFOIw"
"AZ96TBE","Mini","Colorado",2014,"pLoOKuhU"
"KK18KLF","Jaguar","Model 3",2021,"kJJuSeoW"
"ZX66IJY","Nissan","Aventador",2011,"FMLbTzGb"
"BS50LFU","Bentley","Explorer",2023,"Iqvsxobr"
"TN05PUE","Dodge","Beetle",2023,"qVjdvDJw"
"JV17ZUW","Ford","Grand Caravan",2012,"QYbTutWb"
"CA15BVZ","Ford","XC90",2016,"pirdCsNf"
"VR79OFH","BMW","Taurus",2015,"aixRBdNK"
"OZ14UEQ","Mazda","Volt",2013,"HdKJoafH"
"EA80WPA","Volkswagen","Explorer",2023,"WdeaYGBX"
"IH90XFF","Maserati","Camaro",2022,"brbtCqZp"
"QC07JHX","Kia","Model S",2015,"QaIhnXcs"
"BC41YBT","Cadillac","XC90",2017,"gQbVIWyS"
"EH41GTA","Rolls Royce","Model Y",2010,"xsUUrjes"
"BA84DBG","Mini","Mercielago",2019,"JkxcUGEU"
"AN22UHD","Volvo","Golf",2022,"UcWZcMQs"
"QO51ZVE","Volvo","PT Cruiser",2013,"UMcCBvbF"
"AU50LGX","Cadillac","Model 3",2012,"PkGqoPJl"
"FF57MUD","Maserati","CTS",2021,"nejfqjvr"
"JC56SWU","Bentley","Taurus",2011,"pvzmAvKh"
"WQ85RIL","Porsche","Accord",2011,"pXCjaIAa"
"LA66PWZ","Volvo","Escalade",2012,"EfRtvtur"
"AY54QEN","Lamborghini","Roadster",2023,"TYatWDlE"
"HS89CTS","Nissan","Golf",2014,"spSeplMI"
"TP88BKO","Land Rover","Countach",2014,"ZxtsHfQR"
"GX88CYZ","Hyundai","Fiesta",2015,"wOkyoYME"
"ML65LTZ","Ferrari","Civic",2015,"JizWCQYy"
"OL28PJJ","Lamborghini","Camaro",2016,"NHnikuOI"
"TW53GYX","Chrysler","ATS",2021,"ugwMhTub"
"PK68VBX","Land Rover","Mercielago",2011,"ASfhDpkm"
"YM53XIT","Tesla","Fortwo",2023,"LRiTSIfz"
"FU14IJD","Jaguar","Aventador",2011,"lseCUyyV"
"AT06GRQ","Bentley","Impala",2018,"bdLpRTKR"
"GR52BKL","Mercedes Benz","Model 3",2023,"fiCadInn"
"WX90XGL","Lamborghini","CX-9",2021,"DJMVzuix"
"PV10DKH","Honda","1",2021,"XUdArSfA"
"SH66FHI","Smart","V90",2021,"TcWBeQaX"
"IE86YIG","Tesla","Corvette",2018,"FckPiOJe"
"XI30SYD","Volkswagen","Fortwo",2015,"GFUOqJhG"
"WE45KOM","Toyota","Grand Caravan",2010,"mbxfeVdT"
"VX54HSE","Volkswagen","XTS",2022,"tgKDePRD"
"MK89IER","Chrysler","Wrangler",2014,"aiRpsDcD"
"FH59YUE","Nissan","Prius",2012,"VyWkBdDS"
"MC34UUO","Jaguar","Taurus",2015,"ynXZnkmH"
"MS37FLQ","Volvo","Altima",2023,"ZqGOtcZU"
"FW70NXR","Cadillac","XTS",2014,"yTQGKVOj"
"FK04WAX","Dodge","ATS",2020,"xGDaddux"
"SP60CXP","Polestar","Volt",2015,"ViYcNOxG"
"QW98DZE","Hyundai","Aventador",2013,"GAJKAFLr"
"AP77IXV","Volkswagen","Roadster",2017,"SmdHKYIX"
"QM46KMK","Ferrari","Golf",2016,"BtqDDFIU"
"RF33JXN","Lamborghini","Focus",2019,"jtJmpiec"
"FS84CPX","Rolls Royce","A8",2014,"NDzHdoTp"
"WP62DFM","Volkswagen","ATS",2022,"AVDEGGIk"
"AC66RRT","Jaguar","Model 3",2012,"YRGUdPxR"
"HT38RQV","Jaguar","Mustang",2019,"GTLVYSDn"
"JX29JOT","Smart","Accord",2014,"iFQhzrve"
"KP83OWT","Dodge","Camry",2022,"HJPJbIhO"
"OE94DXJ","Chrysler","2",2017,"dHjovHPw"
"WJ61ZQQ","Aston Martin","F-150",2019,"pvbXLBWY"
"QW18DCG","Jaguar","Expedition",2016,"hqyhdSry"
"XE83GVH","Ferrari","Mustang",2017,"FnQJERFx"
"OQ00AVS","Smart","Mercielago",2018,"VfVMOMCl"
"PD72HDQ","Bentley","Element",2016,"bSNOAQwW"
"DE98BNS","Fiat","Ranchero",2017,"vjMkPeEk"
"EW69BDB","Volvo","1",2013,"tCWFqnjj"
"HT13JNO","Cadillac","Silverado",2022,"XSfpJsbA"
"KI01FJI","BMW","Fiesta",2019,"RIkRNYGY"
"DG11VOU","BMW","Camry",2016,"GseCITRt"
"QZ03GKX","Ford","Accord",2012,"XLjxjQXP"
"HN71THY","Mini","XC90",2018,"BSPUHZOO"
"GW68EBD","Land Rover","Wrangler",2010,"zazlzDtt"
"GC00XFH","Bugatti","A8",2020,"ikcVOOyY"
"UG29FHK","Bentley","Focus",2017,"PLKcKVYG"
"CJ46RZD","Ford","Durango",2010,"GBlsgxcn"
"AM29FJH","Aston Martin","Jetta",2023,"bKoMuCwR"
"WD89JZZ","Audi","1",2016,"ICWBoIJY"
"LI86RCK","Lamborghini","Camry",2014,"LnStClvr"
"GM23EYN","Ferrari","Fiesta",2018,"rQpfgvYr"
"QC53TUT","Toyota","Camaro",2020,"dblEZMMA"
"WS67AZH","Jeep","Aventador",2018,"nZrVxEKA"
"ZE95BNL","Fiat","Taurus",2020,"gCgzwXKI"
"WY09ELT","Ferrari","Silverado",2022,"BJoiRsLo"
"AU94GGG","Porsche","A4",2017,"ymUjPhRj"
"VI86VKB","Chevrolet","Camaro",2022,"MsqyWJPY"
"WX46DDA","Hyundai","XTS",2020,"hNdLNMde"
"ZZ34SAI","Maserati","Accord",2022,"VrFOoyPV"
"OY90HJV","Rolls Royce","1",2020,"srJVzoxN"
"FY97ZNC","Mini","Aventador",2021,"fLblIZuE"
"EN02DCY","Bentley","Camry",2012,"DEWLBgXz"
"PO07GIY","Land Rover","2",2017,"YhMrJqAS"
"PY20DST","BMW","CX-9",2023,"GmsDirZd"
"CP38WKY","Audi","CX-9",2020,"ZyipPPeP"
"PB29TVD","Nissan","Corvette",2016,"XcPSPMsm"
"VY17FQD","Maserati","Malibu",2021,"VlQpEprm"
"HD32YBR","Aston Martin","Camaro",2013,"tixIohmZ"
"WZ72PSH","Lamborghini","Model X",2016,"SVJNecpZ"
"YC08QOP","Mercedes Benz","Prius",2018,"KtgrzgaL"
"XR46NAG","Hyundai","Fortwo",2014,"eAzSdJAL"
"JA99QBB","Aston Martin","ATS",2019,"KIobQCfS"
"ZA72SFT","Volvo","Model S",2023,"ZxkwiqYI"
"ZN60RBD","Volkswagen","CX-9",2014,"QipAWyVF"
"XM51IJV","Bentley","Civic",2015,"askHftiS"
"IE99RUK","Maserati","Impala",2010,"ELHKMCzc"
"XF43VUY","Toyota","Corvette",2024,"UIjQsxCj"
"OI14QVH","Hyundai","XC90",2023,"LgzGEJGw"
"EO96VSW","Audi","Aventador",2020,"wgAbgBZC"
"JV95KZH","Chrysler","Model 3",2011,"RxkczwNR"
"JM08AWJ","Bugatti","Mercielago",2013,"xsfBCpDg"
"QE66OWP","Volvo","Land Cruiser",2017,"WQMSJlmx"
"LW05SPR","Honda","Focus",2021,"tZcRBWML"
"DQ86OOX","Aston Martin","A8",2017,"sovsuwES"
"XA12WKQ","Kia","Element",2018,"FrMCpcgN"
"HB70VWU","Land Rover","Spyder",2011,"yRwnIUlS"
"AG47NSV","Cadillac","XC90",2017,"kbDEKZlL"
"EF75IYG","Honda","Land Cruiser",2014,"BCWjlsPq"
"PU97SCK","Mazda","ATS",2015,"ibNnIPdW"
"IL46ZTT","Fiat","PT Cruiser",2021,"LkZcBiOO"
"BY23CVU","Tesla","Jetta",2019,"bRqDpmqt"
"IO07OHT","Aston Martin","Element",2017,"cotsaOsS"
"FC31JGX","Jaguar","Corvette",2017,"BTXAxHuq"
"FL83TRG","Nissan","A8",2012,"nUqeaKGi"
"XY87ITV","Honda","Volt",2018,"AgIIqMjW"
"YJ41IPJ","Chrysler","CTS",2022,"JQAWDqeU"
"ZX43ZYE","Hyundai","Land Cruiser",2014,"DbhUFLwq"
"EP68ULI","Aston Martin","Volt",2011,"zUlTqjMU"
"RK28BFF","Nissan","Grand Caravan",2013,"RAzAjeUG"
"FM47RUY","Audi","Model X",2014,"CtfUlRHS"
"EA10UKI","Audi","Countach",2017,"bYzzJlMl"
"UM86JGM","Aston Martin","Aventador",2011,"tkVKRPET"
"MC74OXJ","Fiat","Model S",2019,"qyMuCEhx"
"WP16ZBV","Mazda","Fortwo",2013,"nkwpjGGv"
"HO77ART","Rolls Royce","1",2019,"LwfrfGbi"
"TC72LQC","Jaguar","Element",2022,"gSNvqgyp"
"YF71HZE","Smart","Impala",2022,"xvlHOqNB"
"OC95ITA","Maserati","Spyder",2012,"ucCvPZSx"
"ZV06VKR","BMW","Wrangler",2024,"pzZYJqvr"
"MK23SFF","Polestar","PT Cruiser",2011,"rMMEjqay"
"LI71PBP","Honda","Sentra",2017,"yFBdPcBm"
"PM05PAD","Nissan","Fiesta",2015,"VtpIlsXu"
"ZE49NVA","Mercedes Benz","Volt",2019,"kYapqLpB"
"BP00EAO","Ferrari","A4",2022,"hbyGEYBY"
"BN78JDB","BMW","Mustang",2012,"rOiieleG"
"ZA70AYV","Kia","Golf",2012,"LVMFEsDJ"
"MQ28GPV","Fiat","Altima",2023,"wOQubVFc"
"VI59VPU","Maserati","Escalade",2015,"qoPkqfNa"
"VB15MBC","Aston Martin","Model 3",2019,"YuVNuPDJ"
"JD39NCE","Lamborghini","Fortwo",2015,"avHQfhlZ"
"JY07ATB","Chevrolet","V90",2021,"WAWmVCGx"
"GK05VST","Maserati","PT Cruiser",2011,"fKNCyoGo"
"LY31HUI","Mini","Model Y",2012,"XdzVVzgD"
"HX68RVZ","Tesla","Expedition",2015,"JjjLCwzB"
"IK36OHS","Cadillac","ATS",2012,"iigYAeZg"
"BF52DBA","Polestar","Cruze",2011,"yKBynsss"
"OI27WXN","Toyota","Camaro",2014,"AAkhdEEn"
"TS37DCE","Tesla","CTS",2014,"ixqPkKLo"
"CL11HIE","Nissan","Silverado",2018,"WxXCSRne"
"QZ51DLJ","Fiat","ATS",2018,"PMipmUGE"
"EJ01WEC","Nissan","Element",2013,"BgDRXBXJ"
"IG72ELD","Cadillac","Malibu",2015,"WDQKKJWo"
"JT42BYX","Toyota","Focus",2016,"wQnYXPex"
"CQ81TZK","Kia","Wrangler",2018,"ugewFmjD"
"YF61JPU","Maserati","Grand Caravan",2020,"GqYWlEEK"
"SG17QCW","Honda","Focus",2010,"JvuiIiOr"
"ZS46OTS","Smart","Charger",2012,"ZpAhjztZ"
"NR26GYD","Fiat","Grand Cherokee",2021,"NsvgNuIh"
"CU15INL","Kia","Volt",2017,"AVJxoeDS"
"KK03ZON","Tesla","Altima",2021,"KpzZwKXk"
"VL82CVC","Mercedes Benz","Model Y",2018,"FBQWwqbn"
"XO23SEJ","Ford","Wrangler",2012,"fRYYyTIi"
"ZB39QJH","Toyota","XC90",2023,"XOxgzrQv"
"SB26XGM","Land Rover","Durango",2020,"lCHczmui"
"FU82UGW","Ferrari","Model X",2021,"orudLDbt"
"DY56DFY","Smart","Wrangler",2019,"brhpcHjM"
"GL79GBM","Volkswagen","Beetle",2019,"bvltRcvW"
"XU87TSM","Rolls Royce","Prius",2022,"cPQJfePy"
"SU27VOK","Toyota","Corvette",2015,"cxknIXkV"
"SI13JUF","Aston Martin","Element",2011,"TAkoIROh"
"YD71RXE","Ford","A4",2013,"kAChrqbd"
"TC53DCN","Ford","Element",2023,"tTLsgrgQ"
"RA81EID","Bentley","CTS",2014,"JiRpqMOm"
"LO14YHB","Mazda","Altima",2013,"JJZlJutS"
"JS83EPE","Ford","Durango",2020,"ourpmOwq"
"AF59OZO","Ford","Charger",2012,"ZGElAOjK"
"XV21ZJQ","Jeep","Model T",2021,"noNpIuPm"
"QV56FRO","Aston Martin","Charger",2010,"TXuoUjAg"
"PE00CEE","Porsche","Fortwo",2014,"ukwSCuSa"
"JC61PRS","Toyota","Model X",2012,"RQbErPqY"
"KJ81GNE","Ferrari","Corvette",2018,"pDNpYZcv"
"ZM97LUQ","Toyota","Taurus",2019,"jBaZGZvy"
"JE38OTL","Volkswagen","Jetta",2019,"GyVRnpYH"
"TH05XRD","Mazda","Golf",2021,"xgwlUxdG"
"LL47TBL","Polestar","Land Cruiser",2014,"ptMzzOkj"
"TU42QQR","Maserati","Model Y",2017,"tHtGdBGl"
"TQ91KUN","Tesla","Challenger",2020,"bpEvlVdb"
"MA98MON","Maserati","1",2020,"faJcnugn"
"NX71DTS","BMW","Focus",2017,"GrJTfnUp"
"LL09QKM","Porsche","Grand Cherokee",2014,"VdUXkEYj"
"OF30NOS","Honda","1",2011,"RVRSObTQ"
"AA21LIX","Toyota","Focus",2019,"GPCsvCsD"
"ZX13DZQ","Volvo","Sentra",2024,"YreKvZQp"
"VN25YLC","Maserati","ATS",2016,"zvOUTyqj"
"LP35JSR","Mini","Model Y",2018,"cmpbDxGW"
"AW04GZW","Polestar","CTS",2015,"tVQfsOwu"
"WJ63CVJ","Audi","Challenger",2011,"hLyeegDJ"
"GB78ICN","Chrysler","Model S",2010,"NRKFhWKv"
"GE54YCD","Dodge","Prius",2014,"yrvzsbye"
"NI19IZC","Nissan","Silverado",2013,"QTcffjBC"
"US06QYS","Ferrari","Cruze",2013,"CVBrXcSr"
"AF51ALK","Volkswagen","Sentra",2010,"BwhJLLlC"
"YS19VWJ","Audi","Model S",2014,"lIwTcQOA"
"CY48RMH","Honda","ATS",2011,"GRMupjUI"
"VP83TES","Porsche","Countach",2020,"uTghotKK"
"BR05UNZ","Maserati","Camry",2018,"coZmKzzZ"
"RP15UFK","Porsche","Explorer",2014,"CwVGTnKn"
"ID54YZM","Lamborghini","Challenger",2019,"yRlwWoWv"
"JT37PGQ","Nissan","Land Cruiser",2023,"AsWsvdKK"
"AO24LIS","Fiat","Aventador",2010,"DuQulsZm"
"MW18RED","Kia","CX-9",2014,"qBipIKJc"
"GM75JKS","Audi","PT Cruiser",2019,"FbLfjQWn"
"BJ08IQD","Ferrari","Model 3",2019,"vPQDFgxQ"
"VN35XEB","Land Rover","V90",2010,"pIfcuBra"
"OW96XFT","Nissan","V90",2019,"lpblwtsR"
"KP32JOR","Cadillac","Model X",2013,"zqykkjmO"
"FY51WUH","Hyundai","2",2022,"MoTIZiof"
"UM52JBT","Audi","Spyder",2018,"bPGVftAd"
"OZ12EQN","Honda","Taurus",2015,"cbHWjzzU"
"SW30FDS","Jeep","Countach",2020,"tjJwyyTy"
"PM91ZTQ","Dodge","LeBaron",2013,"SZgnfyhB"
"FO68NAV","Jaguar","Volt",2018,"FEeCuPAA"
"QU55OHE","Ferrari","A8",2022,"LNDqLjnt"
"EZ69VAB","Audi","Challenger",2020,"xfdUlFKY"
"YW13NEI","Mini","Challenger",2013,"KynHTUQv"
"LR47VHM","Aston Martin","Mercielago",2010,"dtnvDJGC"
"SU30CBK","Tesla","Model X",2015,"LLGMWJEC"
"NB99FJQ","Land Rover","Impala",2013,"UabtWITY"
"OA59QUL","Bentley","Accord",2021,"xiMunzTO"
"XZ20QCS","Kia","El Camino",2019,"XWnxvTPA"
"XJ13NZU","Volvo","Jetta",2017,"GHTZCGwr"
"XT26XSV","Mazda","Beetle",2021,"BswCZEEE"
"TU20RGM","Nissan","Prius",2016,"enqdotgX"
"CM21VWZ","Audi","Beetle",2022,"wCIkigbW"
"WK13NPA","Dodge","Charger",2016,"Rilwutqt"
"VR04KDR","Mercedes Benz","Beetle",2020,"YlJdoLGo"
"DL00TDP","Fiat","XTS",2012,"FOkHthfG"
"BC17IHV","Smart","Wrangler",2019,"NetZWpnN"
"XG06GHS","Mercedes Benz","Prius",2013,"mCCKkTTm"
"JA08PVQ","Smart","Camry",2020,"MfTRehHB"
"NS95LYG","Mini","Alpine",2016,"RWQLXFMg"
"BG32HFO","Fiat","Altima",2018,"oNXCIalg"
"NI50ALP","Volvo","Ranchero",2016,"CxVFtZjJ"
"OT43EFC","Fiat","Roadster",2015,"xeNAxGBs"
"CQ92FLN","Kia","Impala",2019,"fiKWSDGz"
"WO48GII","Mazda","V90",2022,"OsdDtDHW"
"PL96HLJ","Lamborghini","Challenger",2023,"lWEzSPUr"
"QA94GSD","Chrysler","Camry",2011,"ayFCtEZI"
"PF38HSQ","Jeep","Aventador",2011,"TPGNKpzk"
"RI38MJK","BMW","Camaro",2023,"CGPquWsh"
"ZG05EGM","Smart","Model 3",2024,"xxgPIRkC"
"VK02SJI","Porsche","Camaro",2017,"vADaWlwW"
"QU08XOC","Maserati","XTS",2019,"xtAlgayd"
"WY19JEY","Hyundai","Taurus",2023,"xwQaXMoE"
"ZW14WHA","Lamborghini","A4",2021,"faipFRNd"
"HL17IIV","Polestar","Beetle",2022,"VBtThZJz"
"NL54GPF","Porsche","Explorer",2017,"dWmCbVee"
"NQ20PHZ","Mini","Expedition",2022,"YaSlPNNm"
"LW58EXO","Bentley","Beetle",2016,"FUnqZoIi"
"WM80RIB","Mazda","Altima",2010,"CMiUpUBP"
"ER32MYT","Hyundai","Alpine",2010,"iOXkxvLc"
"VL71PJP","Dodge","Land Cruiser",2017,"qzEWSJFE"
"BS48DJQ","Honda","F-150",2013,"TDPXwKSr"
"IU28UUG","Volkswagen","Grand Cherokee",2021,"vtnSLFBh"
"YW55YCM","Maserati","Explorer",2016,"UYoaHFEs"
"NV23BHW","Bentley","Grand Cherokee",2024,"mIyfqhyY"
"QH97YUI","Bugatti","CX-9",2012,"exixvJHu"
"GG04UTV","Lamborghini","Element",2019,"MAKwlNBl"
"XB35FDY","Tesla","Durango",2021,"RoruQuUY"
"IP71UDS","Audi","Element",2011,"tKSfuZIY"
"VO42LBZ","Bugatti","Beetle",2024,"mJBRPaHN"
"CA20ZPJ","Mercedes Benz","Impala",2010,"jKVeHoFj"
"NG25TTP","Cadillac","Model X",2013,"eorEfXSl"
"SM70XZQ","Volvo","Ranchero",2016,"DuKckixg"
"JC64AUI","Nissan","Model T",2024,"LNnIwSnJ"
"JS79PIV","Aston Martin","Mercielago",2015,"GOELDHLs"
"FH13ERE","Land Rover","Mustang",2017,"dtMLsjKC"
"GP09UUM","Kia","911",2022,"MbGoJbUv"
"HL48KTC","Toyota","Challenger",2020,"zhXJEXVi"
"NK81HGQ","Maserati","Alpine",2010,"cimXMwjT"
"KE15PPS","Fiat","Impala",2010,"spiHMnbb"
"BS21WBT","Chevrolet","Sentra",2019,"sRqHyYud"
"II43GRS","Rolls Royce","A8",2022,"OBpEcHsc"
"ST09JLP","Mazda","2",2021,"vPZbGjsF"
"ID68FDK","Volkswagen","911",2012,"mKrZvwzO"
"SO33LIW","Kia","Camry",2019,"ArnxqvAo"
"UR65JCG","Rolls Royce","Durango",2024,"xuiicqRw"
"GA86KGZ","Audi","Element",2011,"vwHtSckn"
"PV75GTR","Jaguar","F-150",2016,"DuxVROWj"
"KQ86PBL","Audi","Malibu",2019,"EPCEXfsa"
"OL11DLM","Aston Martin","Explorer",2012,"qVyShbHP"
"EC33BJM","Jaguar","Cruze",2012,"oWTUTqnw"
"UP13KXC","Ferrari","Grand Caravan",2011,"vrJKNgQb"
"RZ45QUM","Bentley","Grand Cherokee",2011,"defpuROh"
"JR04NFC","Chrysler","Silverado",2020,"EEGzMqJg"
"TQ20CXU","Lamborghini","Explorer",2020,"FaxTizut"
"DI89ONM","Volkswagen","Explorer",2013,"UGqhxfNA"
"TC01ERA","Ford","Model Y",2021,"WrzXeNRv"
"XD16YCZ","Mazda","Mustang",2022,"lcceHHLv"
"WS60RZW","Volvo","Silverado",2019,"SMZDwCVS"
"VG55RCP","Volkswagen","1",2016,"zNoATSJS"
"RO44RKG","Fiat","Camaro",2022,"KmExJdds"
"IL44JIG","BMW","Altima",2014,"ZnHRDgFC"
"FS45KCX","Porsche","Model T",2021,"fWjnuBrT"
"IX64ANB","Chevrolet","Jetta",2013,"mCRaHhdL"
"IK19LWV","Rolls Royce","Charger",2016,"ZoapnfAX"
"XE02FCG","Chevrolet","Model 3",2016,"BzDTXZxY"
"IC43NUH","Ferrari","Sentra",2021,"uoXFJvdh"
"BR40HHZ","Jeep","Model Y",2024,"HAtabfqU"
"NL84LUW","Dodge","Accord",2018,"ErNptngg"
"HM58YCB","Fiat","Grand Caravan",2014,"rDtXbcEL"
"NN44YTR","Maserati","Volt",2023,"fPkveSuk"
"EF91WUA","Bentley","Wrangler",2022,"gUiEDQoH"
"IG20GON","Aston Martin","Impala",2015,"iqWzAoPo"
"FD37GVK","Smart","F-150",2014,"HJHtFkgT"
"EL40LJB","Hyundai","CX-9",2011,"gZdbxJsp"
"WU49VPK","Ford","Sentra",2019,"tkRvqsHO"
"TT46ANQ","Honda","Colorado",2012,"oQZFBqim"
"KN33UJN","Ford","CX-9",2011,"ivizFVzb"
"QT88RYN","Bugatti","Malibu",2015,"adOqjnHh"
"OH13ACS","Fiat","PT Cruiser",2020,"zooVgYWF"
"JZ67KQC","Jeep","Wrangler",2021,"iybRxTku"
"VA34YFQ","Land Rover","Jetta",2021,"pCJeRNzG"
"PX97AXN","BMW","Ranchero",2022,"bFwMQRcN"
"KN55SYQ","Porsche","Prius",2013,"LJujNLAK"
"ND55QDM","Rolls Royce","Durango",2016,"yyJaauUS"
